config,kappa,com_ratio,mu,rank,freq,hip_phi,leg_amp,hip_amp,hip_off,survived,net_fwd_speed,n_samples,e_pos_J,e_abs_J,d_fwd_m,cot_pos,single_frac_t,double_frac_t,air_frac_t,roll_mean_deg,roll_rms_deg,pitch_mean_deg,pitch_rms_deg,yaw_mean_deg,yaw_rms_deg,com_x_rms_mm,com_y_rms_mm,com_z_mean_mm,com_z_rms_mm,r_roll_com_x,r_roll_com_y,r_roll_com_z,r_roll_pitch,r_roll_yaw
c1,0.0,1.05,0.5,3,1.97,0.0,125.0,28.0,20.0,1,0.3243,1445,162.427,226.321,4.2154,1.728,0.6913,0.0,0.3087,0.659,17.172,-6.619,10.687,-2.705,7.605,17.04,6.96,102.34,102.38,-0.9775,-0.2139,-0.0683,-0.7504,-0.6673
c1,0.0,1.05,0.5,4,1.89,0.0,125.0,28.0,20.0,1,0.331,1445,147.314,201.805,4.303,1.536,0.717,0.0021,0.281,0.548,17.97,-7.14,11.007,-1.407,5.951,17.7,7.67,102.07,102.11,-0.9778,-0.2702,-0.0876,-0.8056,-0.8412
c1,0.0,1.05,0.5,5,1.97,10.0,125.0,28.0,20.0,1,0.3033,1445,160.969,223.743,3.9429,1.831,0.7003,0.0014,0.2983,1.8,16.795,-4.781,9.792,0.511,6.91,17.1,4.72,102.55,102.57,-0.9796,-0.0076,-0.1227,-0.7306,-0.7101
c1,0.0,1.05,0.5,6,1.96,340.0,125.0,28.0,10.0,1,0.2111,1445,158.596,221.061,2.7444,2.592,0.7758,0.0,0.2242,0.157,14.81,-5.452,10.253,-6.423,16.947,16.19,5.85,106.36,106.43,-0.9853,-0.0626,-0.0576,-0.7809,-0.3724
c1,0.0,1.05,0.5,7,1.96,10.0,125.0,28.0,20.0,1,0.3116,1445,158.466,220.357,4.0513,1.755,0.6934,0.0014,0.3052,1.426,16.941,-4.738,9.713,-0.353,5.754,17.25,4.09,102.54,102.56,-0.9795,0.0075,-0.1205,-0.7462,-0.8616
c1,0.0,1.05,0.5,8,1.91,0.0,125.0,28.0,20.0,1,0.3177,1445,149.518,206.866,4.13,1.624,0.7211,0.0014,0.2775,0.298,17.506,-6.772,10.76,-1.492,7.465,17.28,7.68,102.19,102.23,-0.9774,-0.2329,-0.0518,-0.7747,-0.6894
c1,0.0,1.05,0.5,9,1.98,0.0,115.0,28.0,20.0,1,0.305,1445,141.257,192.356,3.9656,1.598,0.7356,0.0014,0.263,2.154,16.818,-6.199,10.618,-2.81,8.153,16.27,6.37,100.91,100.94,-0.9766,-0.0233,-0.2123,-0.8402,-0.6825
c1,0.0,1.05,0.5,10,1.87,0.0,125.0,28.0,20.0,1,0.3188,1445,144.872,197.436,4.1442,1.568,0.7225,0.0021,0.2754,0.979,18.025,-7.076,11.163,-1.823,7.075,17.76,7.48,102.05,102.08,-0.9782,-0.1564,-0.1209,-0.8139,-0.7298
c1,0.0,1.05,0.5,11,1.98,300.0,125.0,28.0,10.0,1,0.2965,1445,164.682,231.128,3.8548,1.916,0.7875,0.0007,0.2118,1.359,14.603,-8.92,11.918,-4.384,10.186,15.33,6.21,106.51,106.64,-0.9803,-0.4187,-0.1182,-0.9317,-0.4324
c1,0.0,1.05,0.5,12,1.92,10.0,125.0,28.0,20.0,1,0.2965,1445,151.402,208.746,3.8543,1.762,0.7107,0.0,0.2893,2.124,17.127,-4.609,9.842,0.07,6.383,17.39,4.14,102.48,102.51,-0.9804,0.0911,-0.1684,-0.7623,-0.8039
